County,Voters,M_18_24,M_25_34,M_35_44,M_45_64,M_67,F_18_24,F_25_34,F_35_44,F_45_64,F_67
BZ,309,8,14,32,48,27,12,14,20,34,41
BZ,292,9,13,18,46,18,7,10,10,33,26
BZ,816,18,31,28,112,51,16,32,32,81,89
BZ,240,10,8,6,36,20,4,7,9,25,29
BZ,1315,43,63,80,178,80,37,54,79,146,99
BZ,267,3,7,12,36,15,7,13,14,33,22
BZ,366,26,11,22,53,20,9,26,21,43,26
BZ,697,20,31,41,80,48,23,34,20,67,76
BZ,1451,32,64,77,154,87,34,60,69,147,117
BZ,1399,33,52,96,161,96,26,62,64,150,96
BZ,1059,23,30,48,120,86,16,22,44,91,100
BZ,1008,29,36,37,145,55,30,29,45,120,87
BZ,170,3,2,8,22,20,4,2,10,17,17
BZ,148,1,5,5,21,18,3,1,2,14,25
BZ,147,7,7,4,27,15,2,3,7,12,24
BZ,233,6,8,12,30,23,7,6,14,25,30
BZ,249,7,9,15,30,21,5,10,18,24,18
BZ,110,5,3,5,15,10,3,3,3,16,12
BZ,918,40,43,50,144,110,29,37,49,118,177
BZ,516,25,30,26,88,52,22,27,25,66,91
BZ,319,14,17,25,53,46,10,20,17,39,51
BZ,1389,44,60,76,201,81,26,59,78,195,113
BZ,1144,48,74,97,149,66,40,74,73,146,70
BZ,1172,19,37,39,107,54,27,39,39,87,54
BZ,1090,18,37,40,133,49,23,34,39,106,43
BZ,532,6,14,20,55,21,12,11,22,44,17
BZ,285,4,9,15,22,18,4,10,12,25,16
BZ,711,16,26,34,70,45,11,19,22,62,39
BZ,711,17,22,38,89,35,13,25,31,47,50
BZ,434,15,16,13,49,20,5,19,23,41,30
BZ,354,11,12,8,41,12,19,11,22,21,17
BZ,1382,35,68,69,194,72,41,61,59,169,108
BZ,1199,33,54,53,148,54,35,56,55,133,83
BZ,877,25,39,44,96,57,15,27,45,92,47
BZ,99,2,2,4,17,14,1,3,5,8,13
BZ,523,16,17,26,70,23,8,21,20,68,28
BZ,765,13,30,38,104,39,17,22,29,95,43
BZ,444,15,12,18,38,30,8,8,20,28,26
BZ,603,12,27,35,77,48,16,25,19,66,64
BZ,436,13,16,17,63,29,5,19,18,58,30
BZ,424,10,16,17,46,28,8,9,17,57,35
BZ,1031,14,41,51,123,73,18,36,49,105,74
BZ,383,7,19,23,54,22,16,19,25,41,21
BZ,852,30,36,34,91,55,22,33,34,93,69
BZ,753,18,33,40,81,62,16,29,25,78,87
BZ,140,2,14,5,20,16,3,6,6,23,13
BZ,1812,42,90,119,233,127,56,93,87,245,127
BZ,1823,54,91,97,236,100,56,73,88,198,115
BZ,1224,22,28,47,151,67,16,28,51,126,140
BZ,1332,34,48,67,184,73,38,64,69,144,134
BZ,919,20,20,36,108,69,10,21,46,99,65
BZ,964,26,32,30,103,47,17,28,49,93,68
BZ,1793,65,84,114,251,113,37,96,105,233,140
BZ,1655,39,84,110,220,97,63,103,86,198,116
BZ,1229,35,59,73,148,62,26,61,68,138,75
BZ,564,16,24,38,75,39,18,26,32,65,51
BZ,1620,52,65,105,184,103,48,76,92,178,131
BZ,1223,42,63,81,153,70,39,49,65,150,105
BZ,1878,32,60,76,229,130,38,45,71,200,141
BZ,1794,35,49,82,198,125,27,65,83,190,133
BZ,951,17,28,51,131,77,17,29,47,113,93
BZ,560,8,14,24,71,63,11,12,27,47,98
BZ,1131,43,73,89,164,163,30,58,59,151,236
BZ,1918,21,58,80,203,72,32,67,69,173,82
BZ,1385,32,59,81,141,50,33,54,70,136,55
BZ,1348,35,49,68,133,53,24,53,76,114,55
BZ,1099,15,32,46,95,34,14,28,37,88,28
BZ,1059,20,34,37,96,47,18,20,40,79,38
BZ,296,11,7,8,34,14,7,7,10,27,10
BZ,374,6,10,19,46,10,5,8,17,42,17
BZ,1249,23,49,43,133,100,20,36,51,139,109
BZ,940,21,34,31,115,72,20,25,36,105,80
BZ,189,7,4,5,27,12,4,4,8,21,16
BZ,906,43,50,56,95,46,38,41,58,99,60
BZ,747,26,37,54,79,58,24,32,50,88,57
BZ,841,25,29,36,106,63,18,23,45,89,72
BZ,98,0,3,2,13,18,1,1,1,8,13
BZ,1841,46,93,103,230,117,50,76,82,233,161
BZ,305,13,15,15,35,36,7,13,17,30,44
BZ,1043,33,45,60,141,67,23,37,52,121,86
BZ,846,16,34,43,125,79,20,28,43,98,107
BZ,817,32,34,48,106,61,24,25,41,89,77
BZ,576,9,19,20,84,45,17,18,23,61,81
BZ,639,13,19,21,80,71,15,21,19,68,67
BZ,589,14,34,30,88,51,15,19,26,80,81
BZ,444,10,17,15,56,38,8,20,14,51,47
BZ,353,11,19,23,54,20,10,16,17,49,44
CS,1204,17,12,30,78,29,18,8,29,64,37
CS,584,8,13,16,35,19,5,7,18,29,12
CS,1077,17,24,20,50,23,13,16,22,51,23
CS,599,6,6,20,41,12,8,9,8,45,22
CS,1064,7,17,29,56,28,19,15,27,59,29
CS,1394,10,17,29,72,39,10,18,29,77,42
CS,1054,4,16,19,44,27,7,11,21,36,21
CS,694,10,5,18,39,20,9,7,13,31,10
CS,833,11,24,26,51,11,11,15,19,37,19
CS,1064,14,24,33,65,30,11,26,26,74,27
CS,1189,6,14,37,86,46,10,31,38,98,41
CS,1184,14,26,40,90,33,12,29,32,107,28
CS,627,10,15,18,44,8,17,24,15,39,16
CS,989,16,28,30,72,44,9,17,17,76,36
CS,1151,15,23,34,74,45,9,16,39,83,59
CS,1380,18,26,34,98,26,24,28,36,103,29
CS,1045,12,7,18,57,38,7,12,19,61,33
CS,528,7,6,11,32,20,4,5,15,34,26
CS,1100,11,22,30,66,39,6,20,37,68,48
CS,1111,11,25,24,68,29,5,20,26,58,34
CS,956,10,16,19,57,31,12,16,23,53,25
CS,1269,12,18,31,63,39,11,17,16,78,21
CS,748,6,12,20,51,31,8,10,25,52,35
CS,868,8,11,24,50,43,6,16,27,57,40
CS,771,6,13,23,55,12,9,14,21,48,19
CS,900,7,19,20,50,16,6,16,20,56,40
CS,1187,12,20,38,62,31,5,23,30,70,32
CS,757,4,18,30,55,22,10,15,29,60,24
CS,1018,6,18,23,55,33,6,21,29,68,29
CS,683,5,10,13,48,22,7,10,18,27,21
CS,1107,20,19,32,90,21,7,15,27,59,17
CS,1290,13,17,26,62,15,10,13,20,51,15
CS,927,13,12,13,63,6,16,10,24,47,9
CS,1392,12,21,27,87,19,10,17,20,68,11
CS,1048,2,19,19,61,22,7,21,32,58,27
CS,1077,3,16,19,66,29,5,14,21,73,29
CS,892,6,7,18,49,10,9,6,15,29,1
CS,1275,10,16,37,64,19,9,23,39,50,27
CS,1400,9,21,46,73,44,10,27,33,68,38
CS,1089,9,12,19,60,19,9,17,35,43,27
CS,967,12,20,20,61,17,9,9,22,47,18
CS,955,11,20,31,44,36,11,19,24,48,24
CS,1173,16,24,30,83,29,14,18,27,77,36
CS,957,8,12,33,54,21,9,17,25,47,26
CS,1352,9,15,33,74,36,9,29,36,82,27
CS,1140,10,12,18,78,25,10,20,27,65,25
CS,1047,8,13,26,64,27,5,22,30,59,31
CS,849,6,15,16,35,16,6,13,17,42,29
CS,1298,14,18,37,88,29,16,25,42,81,51
CS,1113,11,19,22,56,24,7,22,22,52,36
CS,1459,15,30,40,91,40,11,35,34,82,55
CS,1037,7,16,22,54,24,16,14,30,53,35
CS,1073,11,20,21,58,30,10,17,32,55,21
CS,1397,11,23,36,67,30,14,26,34,62,29
CS,1186,9,24,31,82,31,17,16,42,75,33
CS,1398,12,25,43,84,20,12,14,30,68,20
CS,950,5,18,26,65,19,11,23,24,57,26
CS,1183,8,24,46,66,36,12,18,41,81,20
CS,1305,15,23,38,84,44,11,17,41,94,38
CS,1062,5,16,35,58,30,8,31,24,73,23
CS,1186,11,16,39,88,41,9,19,32,64,46
CS,1298,17,16,31,95,30,15,16,32,94,23
CS,1158,10,18,23,50,21,11,11,18,55,27
CS,994,14,19,31,56,22,10,13,27,61,16
CS,1359,24,25,34,93,43,21,32,41,82,37
CS,270,7,7,4,23,14,3,3,5,21,12
CS,584,19,9,16,42,20,7,13,23,35,23
CS,395,0,9,8,24,8,3,14,9,22,9
CS,446,6,14,15,42,15,3,11,12,28,14
CS,271,5,11,7,23,10,2,6,7,19,15
CS,1167,17,34,42,99,45,19,28,58,96,34
CS,507,9,17,22,50,24,6,16,18,38,21
CS,1434,22,41,50,129,66,24,40,56,120,84
CS,1074,13,27,44,69,43,11,28,51,86,59
CS,1409,19,33,45,119,54,21,26,57,112,49
CS,1179,21,24,51,95,48,23,43,39,106,56
CS,1558,15,35,66,124,50,25,40,59,106,63
CS,1257,38,36,47,87,37,28,44,43,80,37
CS,1113,10,28,31,59,36,11,25,25,78,42
CS,1146,24,17,32,70,32,15,30,33,71,49
CS,1178,19,29,31,90,30,20,33,36,69,37
CS,1361,22,46,52,88,50,28,42,60,95,47
CS,1086,15,28,41,73,42,14,33,32,85,39
CS,1302,21,31,45,103,35,19,26,43,104,28
CS,1370,25,32,33,105,45,26,25,42,87,38
CS,1438,23,37,55,94,34,23,52,40,110,38
CS,1593,24,55,40,117,49,30,46,47,101,61
CS,1159,20,25,22,76,46,19,17,37,83,57
CS,727,10,18,24,54,24,10,31,21,42,35
CS,1071,16,37,35,95,24,16,45,42,87,22
CS,497,9,20,36,43,22,10,21,24,41,24
CS,849,20,15,28,86,51,11,15,28,66,74
CS,854,17,19,17,77,54,9,12,26,75,64
CS,630,8,16,14,55,29,5,12,18,47,39
CS,500,11,10,18,48,28,16,15,12,38,32
CS,644,13,21,9,53,16,12,11,13,33,12
CS,650,17,15,30,70,35,11,18,19,51,40
CS,632,6,11,17,67,27,8,12,17,43,45
CS,564,2,13,21,37,23,5,11,16,37,36
CS,1105,24,20,35,94,56,18,28,21,78,66
CS,555,12,14,5,57,21,11,13,11,38,27
CS,304,8,6,4,35,14,13,8,11,23,22
CS,235,4,10,5,32,14,9,7,6,36,27
CS,1467,41,49,67,163,87,29,39,74,190,92
CS,901,11,27,38,99,66,11,29,33,102,65
CS,1025,17,20,37,101,88,12,18,50,113,111
CS,481,4,14,24,64,45,8,17,14,74,42
CS,1323,18,30,38,91,50,18,29,30,88,56
CS,1184,18,20,36,98,37,14,33,28,80,52
CS,1285,14,24,39,110,51,20,29,35,119,55
CS,1235,20,21,44,109,49,20,25,37,103,57
CS,1069,18,22,32,83,53,20,23,32,87,64
CS,838,19,16,28,67,44,10,17,20,78,41
CS,1433,30,45,69,127,91,26,38,53,109,84
CS,1288,55,74,57,93,41,62,73,58,86,43
CS,1534,15,33,58,147,44,16,44,49,117,55
CS,1214,20,41,44,87,27,19,33,43,89,34
CS,1251,22,26,35,76,36,24,30,40,78,30
CS,1337,21,34,29,80,62,22,38,35,80,72
CS,1280,32,41,49,136,78,28,33,64,122,96
CS,892,12,22,25,105,55,14,23,32,95,85
CS,523,16,22,22,75,46,5,16,23,65,39
CS,1162,12,22,48,94,37,20,26,40,110,54
CS,1073,17,31,31,99,31,23,23,35,78,36
CS,1346,21,26,45,102,28,15,34,56,103,48
CS,984,13,26,34,75,42,11,31,24,83,48
CS,955,22,29,42,87,18,16,38,34,76,23
CS,828,12,18,21,72,31,14,18,35,71,28
CS,449,7,11,20,61,40,8,18,15,53,54
CS,1278,15,44,52,143,71,18,41,52,131,95
CS,172,4,2,10,18,26,2,8,4,26,25
CS,987,17,25,35,91,35,8,19,36,80,50
CS,819,12,17,38,76,37,12,24,31,95,39
CS,865,15,21,38,85,55,17,16,41,93,55
CS,1157,27,25,45,94,59,24,29,41,107,50
CS,1229,21,40,47,100,40,29,28,46,116,53
CS,1485,23,41,45,127,39,19,35,44,120,40
CS,1059,21,28,30,91,29,15,18,44,98,42
CS,1048,11,26,47,88,36,20,34,36,98,34
CS,152,2,7,7,20,11,1,7,5,11,14
CS,438,12,11,15,36,15,7,11,12,31,15
CS,513,14,17,23,66,27,5,13,18,33,23
CS,435,8,15,21,54,21,9,18,16,49,29
CS,297,3,12,13,35,16,9,11,16,31,20
CS,25,0,0,2,12,3,0,2,0,3,2
CS,938,8,24,32,72,45,14,26,32,69,52
CS,746,10,18,24,58,23,14,18,23,57,30
CS,1318,18,20,52,85,54,21,30,39,109,64
CS,1105,18,27,30,77,51,22,28,34,77,81
CS,835,8,16,27,66,50,12,14,23,60,59
CS,1125,17,31,40,111,63,23,38,44,97,66
CS,1126,24,27,42,102,65,20,29,44,85,80
CS,524,11,22,19,43,25,11,20,14,47,28
CS,322,8,8,9,30,11,11,13,6,27,13
CS,1216,24,39,36,117,26,28,25,44,101,28
CS,655,19,15,23,67,34,13,24,24,57,51
CS,294,10,12,22,36,24,5,16,17,37,28
CS,144,4,12,10,29,20,6,6,7,21,23
CS,1073,27,60,93,170,87,33,74,65,144,136
CS,459,19,32,21,69,43,14,21,27,62,47
CS,289,11,23,31,41,30,12,11,19,35,33
CS,943,43,52,70,141,89,22,43,58,146,108
CS,467,16,21,20,65,45,11,20,19,68,61
CS,651,22,30,40,104,65,12,23,38,74,96
CS,663,20,31,41,78,65,24,27,34,83,86
CS,745,35,45,40,118,50,28,29,47,95,68
CS,299,12,11,11,51,21,11,11,17,33,32
CS,292,7,17,18,44,14,8,19,13,33,29
CS,181,3,6,13,23,16,5,7,12,19,20
CS,158,7,6,8,22,16,6,12,12,13,19
CS,1141,27,40,48,144,72,24,43,47,150,118
CS,173,1,0,4,18,9,1,2,4,21,14
CS,867,19,35,46,106,63,23,31,38,98,107
CS,872,13,38,45,97,70,29,25,45,112,82
CS,888,19,35,45,88,40,14,36,45,88,47
CS,615,12,24,27,83,28,15,11,25,61,52
CS,809,22,36,42,108,51,19,35,39,103,70
CS,376,4,19,18,54,38,11,20,16,45,46
CS,759,25,55,50,103,53,29,39,41,105,67
CS,1120,21,47,51,114,93,18,31,42,133,116
CS,668,17,22,45,63,41,23,29,21,68,61
CS,572,15,27,24,64,47,10,14,16,63,43
CS,198,8,10,11,34,20,3,11,9,21,42
CS,585,21,40,45,114,67,22,32,36,103,67
CS,191,4,9,10,25,37,9,8,10,30,33
CS,273,7,14,29,53,43,4,9,18,41,33
CS,503,11,22,31,69,38,7,25,24,67,53
CS,763,11,16,32,69,49,11,18,29,55,61
CS,439,8,17,21,53,37,12,11,23,63,60
CS,624,15,20,31,58,41,8,22,22,54,62
CS,808,28,27,38,77,69,22,23,34,76,66
CS,438,16,20,18,56,40,16,15,20,55,54
CS,526,4,26,22,66,41,12,17,24,56,34
CS,866,18,32,31,103,57,14,25,22,62,77
CS,160,7,7,12,25,12,6,7,9,15,9
CS,437,10,13,17,41,26,6,7,12,32,26
CS,1047,29,41,35,80,73,20,32,31,74,72
CS,507,17,16,29,74,61,8,17,19,45,91
CS,277,5,13,17,49,27,6,10,11,39,45
CS,949,28,55,61,128,82,21,36,69,112,101
CS,287,8,11,15,28,28,13,8,10,33,45
CS,113,3,3,7,23,11,4,2,6,14,12
CS,408,4,16,15,45,40,2,17,15,36,63
CS,75,0,6,2,15,10,4,2,4,7,24
CS,113,4,7,5,21,16,4,2,7,9,26
CS,261,3,21,9,33,25,13,13,10,32,27
CS,98,3,6,4,13,21,2,2,0,16,17
CS,395,8,17,9,63,33,5,14,12,55,43
CS,405,10,16,24,53,22,10,18,22,48,40
CS,449,17,23,23,57,36,13,21,27,51,53
CS,316,11,12,14,45,23,8,7,12,47,36
CS,199,10,10,12,27,19,7,3,10,34,25
CS,379,13,19,24,51,26,9,25,18,44,35
CS,588,13,21,39,64,46,9,32,30,67,63
CS,304,7,12,17,46,35,8,13,12,43,33
CS,224,10,10,20,35,35,7,10,9,25,40
CS,98,5,9,5,17,7,7,7,3,17,11
CS,304,6,16,12,50,36,8,6,7,37,53
CS,607,21,26,38,85,62,17,22,34,84,75
CS,363,3,8,12,50,49,2,9,10,48,57
CS,485,9,23,22,70,57,9,9,24,59,79
CS,441,10,17,24,43,39,6,21,13,43,57
CS,316,7,7,19,34,38,4,8,18,34,40
CS,68,3,11,5,11,7,2,2,4,6,10
CS,641,16,34,58,94,56,25,37,32,89,50
CS,784,27,46,65,106,65,29,52,59,98,56
CS,83,2,5,8,10,8,2,4,2,7,2
CS,464,9,9,17,45,41,8,12,17,53,45
CS,1151,43,57,108,160,76,33,68,80,146,97
CS,826,21,62,54,107,80,36,45,40,111,124
CS,512,19,18,28,67,59,13,14,21,60,92
CS,428,16,23,26,47,48,14,26,27,57,54
CS,650,18,28,26,81,50,13,18,27,69,69
CS,535,12,15,20,55,38,9,9,18,56,36
CS,77,2,5,12,12,12,3,6,3,12,17
CS,962,50,82,89,149,72,35,60,52,110,107
CS,603,46,50,59,73,25,45,47,44,69,42
CS,774,16,34,54,106,78,31,28,47,97,130
CS,302,14,20,15,52,34,15,15,18,38,36
CS,1293,36,47,68,177,132,19,47,59,173,172
CS,541,4,25,21,57,40,7,14,10,52,42
CS,562,15,27,22,58,48,15,18,22,54,62
CS,644,15,39,29,103,77,25,23,46,91,91
CS,149,2,7,12,25,32,1,3,9,14,56
CS,172,7,5,12,21,19,3,9,8,16,19
CS,235,15,15,15,36,24,6,9,9,27,33
CS,95,4,7,11,18,12,3,5,7,11,18
CS,181,9,12,9,24,21,3,9,8,12,32
CS,451,15,25,21,64,31,8,18,18,59,60
CS,345,10,16,20,60,19,8,13,20,36,26
CS,562,16,33,30,65,38,12,26,20,62,53
CS,388,8,8,6,27,24,6,8,6,33,17
CS,736,37,32,55,102,50,30,35,45,102,73
CS,1547,41,60,66,154,112,59,43,63,155,128
CS,315,10,17,20,51,28,8,12,12,51,40
CS,128,2,3,4,14,13,7,3,5,11,16
CS,214,5,7,14,42,27,1,6,8,31,39
CS,873,18,37,46,107,71,18,31,40,98,86
CS,779,17,40,48,81,52,15,36,31,80,63
CS,608,13,35,31,83,56,14,25,30,84,82
CS,529,14,24,25,93,46,12,21,13,81,83
CS,599,16,15,31,87,73,15,13,27,73,93
CS,372,10,22,26,69,48,10,24,20,61,76
CS,350,10,16,11,54,59,8,8,14,53,83
CS,66,2,1,4,14,8,1,1,1,7,19
CS,886,38,62,78,151,108,33,56,62,142,171
CS,461,16,26,48,68,53,14,18,38,61,91
CS,647,8,20,24,71,56,9,12,19,66,58
CS,1306,35,68,78,198,104,46,57,64,174,130
CS,740,10,13,26,73,53,13,20,23,68,50
CS,711,15,16,20,77,49,9,18,16,50,55
CS,435,6,16,17,40,24,10,11,22,33,28
CS,349,8,13,13,29,21,8,7,12,34,29
CS,902,16,36,44,109,85,12,36,40,103,108
CS,1521,48,88,79,140,72,41,74,67,130,89
CS,702,32,39,38,74,47,34,29,41,69,55
CS,189,6,4,9,27,21,4,10,10,20,9
CS,635,10,22,29,87,61,13,19,26,65,68
CS,541,22,17,28,75,54,12,13,23,50,74
CS,1175,47,29,74,127,72,25,49,66,134,100
CS,834,20,24,32,113,41,18,18,41,86,38
CS,560,16,19,30,86,84,14,19,25,61,122
CS,197,4,5,14,25,33,6,8,6,35,46
CS,669,34,33,47,96,81,20,24,42,78,95
CS,1477,40,66,90,160,100,28,63,61,151,105
CS,295,16,11,15,34,20,4,11,16,29,26
CS,609,28,28,31,87,47,27,22,35,77,48
CS,328,10,20,17,44,27,15,17,22,30,47
CS,588,12,47,36,68,46,23,30,30,58,67
CS,569,30,35,36,91,63,25,31,35,90,52
CS,64,3,7,4,14,6,3,6,3,11,12
CS,855,33,53,58,144,54,33,40,40,106,77
CS,362,11,19,21,49,45,9,12,17,49,49
CS,222,4,15,19,37,25,9,12,10,41,28
CS,897,16,30,32,102,86,18,17,40,90,110
CS,487,3,22,18,61,51,9,12,13,58,47
CS,450,15,15,19,59,40,5,18,18,50,43
CS,209,3,4,21,31,19,2,4,15,22,32
CS,367,3,11,12,37,31,11,9,9,47,34
CS,365,10,11,19,53,40,1,15,14,53,49
CS,332,6,14,12,46,39,5,7,11,41,59
CS,438,16,24,24,56,40,16,11,26,52,51
CS,136,8,11,9,17,9,3,12,6,12,15
CS,739,30,36,53,100,76,21,33,42,97,93
CS,970,30,54,53,119,73,19,49,43,116,108
CS,325,13,16,26,39,33,6,13,17,37,38
CS,1336,25,40,72,141,97,27,50,47,126,107
CS,291,2,11,11,27,12,4,6,4,23,9
CS,1298,32,65,57,152,81,28,55,53,150,106
CS,267,6,7,17,26,14,4,13,5,28,12
CS,372,9,19,20,34,30,5,14,16,30,25
CS,648,18,24,36,86,58,17,18,30,75,83
CS,207,11,15,16,14,12,7,11,15,15,13
CS,84,2,4,3,18,12,1,5,1,7,15
CS,279,8,14,20,35,23,9,11,13,36,39
CS,298,3,7,10,20,14,2,8,6,14,29
CS,392,9,6,12,45,38,7,13,12,34,57
CS,211,8,9,17,20,13,5,11,12,13,27
CS,450,9,21,25,70,44,11,14,23,53,78
CS,1224,42,66,69,206,114,47,57,51,164,187
CS,78,2,11,4,14,17,4,4,3,8,19
CS,1432,46,52,62,182,98,40,45,67,163,126
CS,601,15,21,32,67,60,6,15,21,74,80
CS,187,5,8,12,27,13,4,6,8,24,21
CS,315,4,9,7,27,13,8,15,12,23,14
CS,585,15,27,32,55,50,8,17,32,67,61
CS,40,1,3,2,11,7,1,3,2,13,4
CS,460,11,16,19,50,25,14,21,19,48,51
CS,623,20,34,31,85,30,16,34,19,64,54
CS,266,5,6,18,45,28,9,14,18,35,36
CS,107,1,1,4,11,4,1,3,1,11,9
CS,92,7,7,8,15,8,4,3,7,11,6
CS,81,1,5,4,19,9,2,1,4,17,9
CS,121,7,7,12,22,10,2,9,10,23,12
CS,203,4,15,23,33,17,6,21,12,31,24
CS,1404,40,50,98,158,101,31,50,63,142,113
CS,1187,37,66,77,160,93,44,63,56,149,144
CS,1097,23,54,52,161,94,31,45,54,131,128
CS,953,27,57,50,124,83,24,39,48,128,89
CS,260,10,14,25,35,17,9,9,15,21,29
CS,289,6,15,28,37,28,12,9,23,34,24
CS,252,11,11,16,30,22,12,6,13,26,23
CS,717,27,32,27,63,44,13,35,27,69,52
CS,1164,25,31,46,141,78,24,26,29,108,95
CS,1018,22,20,32,106,52,16,25,37,96,43
CS,713,26,37,33,83,67,21,36,34,95,65
CS,1194,44,83,73,136,85,40,63,66,132,98
CS,212,4,9,20,32,16,7,7,10,26,25
CS,446,12,17,28,52,21,16,15,34,50,40
CS,249,9,10,17,39,20,7,11,16,30,35
CS,673,26,38,48,116,69,25,32,41,107,77
CS,641,11,27,26,63,45,12,25,19,60,56
CS,480,17,15,30,52,23,11,24,19,47,31
CS,253,9,19,15,23,19,6,11,12,23,25
CS,232,6,11,14,36,31,7,11,9,36,30
CS,787,22,38,52,121,80,22,46,49,119,97
CS,691,29,31,36,91,47,13,31,26,87,61
CS,147,7,6,8,20,13,3,11,2,14,16
CS,1487,41,52,78,141,91,31,55,56,120,115
CS,444,9,39,14,51,23,18,28,27,46,38
CS,896,30,35,62,120,54,40,31,45,109,56
CS,59,0,3,0,14,9,0,4,4,8,5
CS,459,12,18,28,59,36,12,16,19,49,37
CS,149,3,12,17,34,14,7,13,9,27,22
CS,821,38,68,91,157,141,37,55,77,149,187
CL,1381,15,24,51,104,74,10,34,61,125,86
CL,629,6,13,20,45,29,4,14,26,58,39
CL,994,10,26,41,71,38,12,25,42,90,48
CL,780,11,24,42,64,46,6,28,38,70,54
CL,1090,20,23,32,97,67,20,26,34,119,60
CL,996,17,19,30,76,43,11,16,31,84,48
CL,1384,21,35,27,112,52,16,31,26,117,67
CL,1518,17,35,41,109,59,14,33,41,130,90
CL,1348,18,21,39,77,76,14,25,50,116,109
CL,1190,6,14,37,86,55,11,24,39,115,78
CL,1023,13,27,31,85,45,8,24,36,123,55
CL,1025,19,25,33,47,25,17,16,28,82,26
CL,1036,13,24,37,93,40,15,19,37,115,43
CL,1398,18,20,44,153,34,17,26,44,166,38
CL,1268,18,23,42,94,57,14,18,46,122,60
CL,1311,24,22,84,101,21,21,29,106,97,34
CL,1187,15,16,48,73,46,20,26,40,97,46
CL,1381,14,39,51,111,43,21,31,42,153,29
CL,719,10,16,25,47,23,9,18,32,69,28
CL,758,9,16,13,61,32,6,20,18,85,43
CL,1471,17,30,48,112,50,17,41,46,104,68
CL,1106,10,21,40,77,70,19,17,37,114,79
CL,1683,19,26,48,101,66,17,31,52,129,91
CL,1595,23,35,42,159,24,32,45,43,162,26
CL,1526,16,41,61,132,41,23,37,62,146,44
CL,1882,37,30,65,137,32,20,42,80,161,40
CL,1468,17,28,37,86,38,16,24,39,89,58
CL,1410,15,31,53,94,33,17,34,61,137,26
CL,790,14,24,20,60,11,8,18,22,81,19
CL,1436,28,46,29,163,21,32,67,44,154,18
CL,1244,30,28,58,122,34,26,29,74,122,28
CL,1283,13,40,37,130,28,21,37,36,157,24
CL,1380,23,40,54,155,27,15,42,46,161,26
CL,1292,19,45,29,126,26,15,35,38,139,24
CL,1136,14,35,39,117,25,18,29,38,121,19
CL,1263,17,35,47,138,17,18,34,66,141,19
CL,1168,20,17,60,85,31,13,32,52,87,40
CL,1507,23,54,45,171,35,33,44,63,159,32
CL,1053,19,21,41,81,47,9,24,40,87,59
CL,1497,14,32,61,122,74,17,38,55,122,90
CL,1088,18,17,40,81,49,21,26,43,89,45
CL,787,13,13,23,67,53,15,11,29,67,45
CL,1100,17,29,43,80,51,19,29,36,93,59
CL,1222,25,31,66,114,67,14,47,46,112,76
CL,1353,13,37,57,102,64,17,32,63,109,66
CL,1098,19,24,35,81,37,13,24,36,85,46
CL,1168,14,35,48,97,54,15,33,40,124,50
CL,999,17,31,30,100,46,17,21,31,92,44
CL,983,16,25,30,84,47,8,22,29,92,63
CL,590,15,28,27,62,11,15,23,26,56,17
CL,1443,18,26,49,115,83,9,30,56,133,141
CL,1907,29,48,107,173,79,29,65,96,166,93
CL,1209,11,31,47,103,73,11,34,45,111,78
CL,1158,14,24,48,80,58,13,29,47,104,58
CL,1479,22,36,52,114,75,24,25,51,136,83
CL,1769,34,36,63,143,90,12,47,81,178,132
CL,1825,15,36,65,159,76,27,54,63,183,108
CL,1824,40,33,54,147,69,30,37,60,161,85
CL,1799,21,43,52,147,75,34,37,53,181,84
CL,1682,32,25,47,110,60,17,26,71,120,81
CL,1686,14,46,60,125,45,21,39,62,142,49
CL,1645,22,34,52,119,65,16,42,64,156,62
CL,1730,26,32,41,133,49,22,41,37,146,42
CL,1284,23,29,38,118,49,11,25,43,103,57
CL,1592,10,49,61,140,67,14,35,60,148,78
CL,1850,65,113,99,192,60,72,91,112,196,72
CL,1933,61,116,124,182,63,70,126,128,186,91
CL,809,24,35,33,81,41,23,37,39,74,42
CL,500,9,35,29,65,26,11,36,29,59,38
CL,578,16,22,27,66,53,8,17,26,60,50
CL,919,34,34,62,122,63,20,40,66,130,71
CL,1386,53,102,74,206,57,56,87,89,207,81
CL,1060,36,72,65,148,62,38,63,66,153,61
CL,1308,50,87,114,193,60,42,86,111,172,84
CL,520,25,32,37,59,36,9,34,28,47,41
CL,1516,36,45,109,172,97,28,49,83,180,136
CL,1592,34,51,70,222,86,43,55,81,217,90
CL,745,18,31,41,75,41,13,36,36,62,48
CL,1066,44,59,75,112,31,42,80,73,100,30
CL,359,11,22,18,52,17,22,15,23,47,24
CL,1012,31,50,72,161,87,42,52,62,119,132
CL,905,33,52,54,129,81,34,37,56,109,107
CL,253,8,20,14,39,39,3,12,13,42,40
CL,1252,49,95,85,174,72,35,70,80,149,106
CL,400,8,22,44,52,30,11,16,30,37,28
CL,1056,21,38,42,94,35,14,34,38,90,43
CL,897,14,33,40,104,42,19,16,32,83,50
CL,1563,24,62,59,160,60,34,60,57,167,76
CL,1473,30,56,44,155,69,24,51,53,157,72
CL,1723,31,61,58,196,64,31,43,60,159,81
CL,1451,45,52,89,224,145,38,40,80,178,150
CL,1580,43,65,78,149,57,46,63,62,122,65
CL,1549,34,63,68,165,85,21,54,47,150,74
